Date,Open,High,Low,Close,Volume,,,,,,
8-Sep-16,107.25,107.27,105.24,105.52,53002026,,,,,,
7-Sep-16,107.83,108.76,107.07,108.36,42364328,,,,,,
6-Sep-16,107.9,108.3,107.51,107.7,26880391,,,,,,
2-Sep-16,107.7,108,106.82,107.73,26334858,,,,,,
1-Sep-16,106.14,106.8,105.62,106.73,26701523,,,,,,
9-Aug-16,108.23,108.94,108.01,108.81,26315204,,,,,,
8-Aug-16,107.52,108.37,107.16,108.37,28037220,,,,,,
5-Aug-16,106.27,107.65,106.18,107.48,40553402,,,,,,
4-Aug-16,105.58,106,105.28,105.87,27408650,,,,,,
3-Aug-16,104.81,105.84,104.77,105.79,30202641,,,,,,
2-Aug-16,106.05,106.07,104,104.48,33816556,,,,,,
1-Aug-16,104.41,106.15,104.41,106.05,38167871,,,,,,
29-Jul-16,104.19,104.55,103.68,104.21,27733688,,,,,,
28-Jul-16,102.83,104.45,102.82,104.34,39869839,,,,,,
27-Jul-16,104.26,104.35,102.75,102.95,92344820,,,,,,
26-Jul-16,96.82,97.97,96.42,96.67,56239822,,,,,,
25-Jul-16,98.25,98.84,96.92,97.34,40382921,,,,,,
22-Jul-16,99.26,99.3,98.31,98.66,28313669,,,,,,
21-Jul-16,99.83,101,99.13,99.43,32702028,,,,,,
20-Jul-16,100,100.46,99.74,99.96,26275968,,,,,,
19-Jul-16,99.56,100,99.34,99.87,23779924,,,,,,
18-Jul-16,98.7,100.13,98.6,99.83,36493867,,,,,,
15-Jul-16,98.92,99.3,98.5,98.78,30136990,,,,,,
14-Jul-16,97.39,98.99,97.32,98.79,38918997,,,,,,
13-Jul-16,97.41,97.67,96.84,96.87,25892171,,,,,,
12-Jul-16,97.17,97.7,97.12,97.42,24167463,,,,,,
11-Jul-16,96.75,97.65,96.73,96.98,23794945,,,,,,
8-Jul-16,96.49,96.89,96.05,96.68,28912103,,,,,,
7-Jul-16,95.7,96.5,95.62,95.94,25139558,,,,,,
6-Jul-16,94.6,95.66,94.37,95.53,30949090,,,,,,
5-Jul-16,95.39,95.4,94.46,94.99,27705210,,,,,,
1-Jul-16,95.49,96.46,95.33,95.89,26026540,,,,,,
30-Jun-16,94.44,95.77,94.3,95.6,35836356,,,,,,
29-Jun-16,93.97,94.55,93.63,94.4,36531006,,,,,,
28-Jun-16,92.9,93.66,92.14,93.59,40444914,,,,,,
27-Jun-16,93,93.05,91.5,92.04,46622188,,,,,,
24-Jun-16,92.91,94.66,92.65,93.4,75311356,,,,,,
23-Jun-16,95.94,96.29,95.25,96.1,32240187,,,,,,
22-Jun-16,96.25,96.89,95.35,95.55,29219122,,,,,,
21-Jun-16,94.94,96.35,94.68,95.91,35546358,,,,,,
20-Jun-16,96,96.57,95.03,95.1,34411901,,,,,,
17-Jun-16,96.62,96.65,95.3,95.33,61008219,,,,,,
16-Jun-16,96.45,97.75,96.07,97.55,31326815,,,,,,
15-Jun-16,97.82,98.41,97.03,97.14,29445227,,,,,,
14-Jun-16,97.32,98.48,96.75,97.46,31931944,,,,,,
13-Jun-16,98.69,99.12,97.1,97.34,38020494,,,,,,
10-Jun-16,98.53,99.35,98.48,98.83,31712936,,,,,,
9-Jun-16,98.5,99.99,98.46,99.65,26601354,,,,,,
8-Jun-16,99.02,99.56,98.68,98.94,20848131,,,,,,
7-Jun-16,99.25,99.87,98.96,99.03,22409450,,,,,,
6-Jun-16,97.99,101.89,97.55,98.63,23292504,,,,,,
3-Jun-16,97.79,98.27,97.45,97.92,28504888,,,,,,
2-Jun-16,97.6,97.84,96.63,97.72,40191600,,,,,,
1-Jun-16,99.02,99.54,98.33,98.46,29173285,,,,,,
9-May-16,93,93.77,92.59,92.79,32855251,,,,,,
6-May-16,93.37,93.45,91.85,92.72,43458189,,,,,,
5-May-16,94,94.07,92.68,93.24,35763138,,,,,,
4-May-16,95.2,95.9,93.82,94.19,40824776,,,,,,
3-May-16,94.2,95.74,93.68,95.18,56533960,,,,,,
2-May-16,93.96,94.08,92.4,93.64,47736879,,,,,,
8-Apr-16,108.91,109.77,108.17,108.66,23514462,,,,,,
7-Apr-16,109.95,110.42,108.12,108.54,30881022,,,,,,
6-Apr-16,110.23,110.98,109.2,110.96,26047772,,,,,,
5-Apr-16,109.51,110.73,109.42,109.81,26495312,,,,,,
4-Apr-16,110.42,112.19,110.27,111.12,37243224,,,,,,
1-Apr-16,108.78,110,108.2,109.99,25626163,,,,,,
